category,code,content,description,
자재 관리 (MM),M3 001,자재 유형 &에 대한 번호 범위가 정의되지 않았습니다.,자재 유형에 대해 번호 범위 간격이 할당되었는지 확인하십시오. 거래 SNRO 또는 SPRO를 통해 번호 범위를 유지 관리하십시오: 물류 일반 → 자재 마스터 → 자재 번호 범위 → 자재 유형에 대한 번호 범위 정의.,
자재 관리 (MM),M7 089,재고 미착품 & & &,플랜트 간의 모든 이송 전기가 불일치를 피하기 위해 올바르게 기록되었는지 확인하십시오.,
자재 관리 (MM),M7 146,플랜트 &에 있는 자재 &에 대한 배치 &이 존재하지 않습니다.,배치 관리 자재가 재고 거래 중 제대로 처리되도록 합니다.,
자재 관리 (MM),M7 163,저장 위치 &이 재고 이동용으로 차단되었습니다.,거래 OMS2 또는 관련 IMG 경로를 사용하여 저장 위치 설정을 업데이트하십시오.,
자재 관리 (MM),M7 310,자재 &은 분할 평가 대상입니다.,분할 평가 구성을 반영하도록 자재 마스터의 회계 데이터를 업데이트하십시오.,
자재 관리 (MM),ME 027,적합한 구매 문서가 없습니다.,조달 프로세스에 대한 참조 문서가 존재하는지 문서 흐름을 검토하고 확인하십시오.,
자재 관리 (MM),ME 082,공급업체 &이 구매용으로 차단되었습니다.,공급업체의 구매 상태가 회사 공급업체 관리 정책을 준수하는지 확인하십시오.,
자재 관리 (MM),ME 101,구매 문서 &에 대한 항목 카테고리가 없습니다.,처리를 가능하게 하기 위해 항목 카테고리가 조달 시나리오에 해당하는지 확인하십시오.,
자재 관리 (MM),ME 140,자재 &에 대한 가격을 결정할 수 없습니다.,조건 기록을 확인하고 가격이 자동으로 결정될 수 없는 경우 업데이트하십시오.,
자재 관리 (MM),ME 807,출력 유형 &에 대한 메시지 레코드를 찾을 수 없습니다.,이로 인해 이메일 또는 인쇄물과 같은 통신 출력이 제대로 생성됩니다.,
자재 관리 (MM),SE 013,서비스 &이 존재하지 않습니다.,조달 및 송장 확인을 위해 서비스 마스터가 최신 상태인지 확인하십시오.,
자재 관리 (MM),VN 001,문서 유형 &에 대해 유효한 번호 범위가 없습니다.,이로 인해 조달 처리 중 문서 번호 할당 오류가 방지됩니다.,
자재 관리 (MM),XM 001,품목 &에 대해 잘못된 수량이 입력되었습니다.,수량이 측정 단위 및 조달 또는 재고에 대한 비즈니스 규칙을 준수하는지 확인하십시오.,
자재 관리 (MM),ME 005,자재 번호 &이 존재하지 않습니다.,지정된 자재 번호에 대한 자재 마스터 레코드를 생성하거나 확인하십시오.,
자재 관리 (MM),ME 013,구매 요청 &이 존재하지 않습니다.,구매 요청(PR) 번호의 정확성을 확인하고 시스템에 실제로 존재하며 처리가 가능한지 확인하십시오.,
자재 관리 (MM),ME 018,구매 오더 &가 릴리스되지 않았습니다.,ME29N을 사용하여 구매 오더 상태를 릴리스됨으로 변경하십시오.,
자재 관리 (MM),M7 060,플랜트 &에 저장 위치 &가 없습니다.,플랜트 내에 저장 위치를 할당하거나 생성하십시오(거래 OMS2).,
인사(HR),PG 001,인포타입 &에 데이터가 없습니다.,직원에게 인포타입 데이터가 존재하는지 확인하십시오. 거래 PA30을 사용하여 필요한 인포타입 항목을 생성하거나 유지 관리하십시오.,
인사(HR),PG 002,날짜 &에 인포타입 &의 데이터가 없습니다.,데이터가 누락된 날짜와 인포타입을 확인하십시오. 기간을 조정하거나 올바른 날짜 범위에 필요한 데이터를 입력하십시오.,
인사(HR),PG 010,기간 &에 인포타입 &의 데이터가 없습니다.,"선택된 기간에 인포타입 데이터가 포함되어 있는지 확인하십시오. 누락된 경우, 해당 기간에 대한 데이터를 유지 관리하십시오. PA30 또는 관련 인포타입 거래를 사용하여 원하는 기간 내에 데이터를 입력하십시오.",
인사(HR),PG 013,인포타입 &에 대한 유효한 레코드가 없습니다.,직원에게 특정 인포타입의 유효한 레코드를 검색하십시오. 누락되거나 유효하지 않은 경우 유효한 인포타입 항목을 수정하거나 생성하십시오.,
인사(HR),PG 014,날짜 &에 인포타입 &의 레코드가 유효하지 않습니다.,지정된 날짜에 대한 인포타입 레코드를 확인하십시오. 활성화되어 있고 올바른지 확인하십시오. 유효하지 않은 레코드를 수정하기 위해 시작/종료 날짜 또는 데이터를 필요에 따라 조정하십시오.,
인사(HR),PG 020,인포타입 &의 레코드에 중복이 있습니다.,직원 및 인포타입에 대한 중복 인포타입 레코드를 식별하십시오. 충돌을 제거하기 위해 날짜를 조정하거나 레코드를 분할하여 중복을 수정하십시오.,
인사(HR),PG 021,인포타입 &의 레코드에 간격이 있습니다.,직원에게 인포타입 레코드 간의 간격을 감지하십시오. 누락된 데이터를 채우거나 연속적인 유효성 기간을 유지하기 위해 레코드 날짜를 조정하십시오.,
인사(HR),PG 022,인포타입 &의 레코드가 존재하지 않습니다.,요청된 인포타입 레코드가 직원에게 존재하는지 확인하십시오. PA30 또는 관련 HR 거래를 사용하여 누락된 인포타입 레코드를 생성하십시오.,
인사(HR),PG 023,필수 인포타입 &이 누락되었습니다.,급여 또는 인사 처리에 필요한 누락된 필수 인포타입이 있는지 식별하십시오. 모든 필수 인포타입이 직원에게 유지 관리되고 업데이트되었는지 확인하십시오.,
인사(HR),HRPAY 001,급여 영역 &이 잠겨 있습니다.,기간 종료 또는 수정 프로세스로 인해 급여 영역이 잠겨 있는지 확인하십시오. 계속 진행하려면 급여 통제 센터 또는 관련 거래를 통해 급여 영역을 잠금 해제하십시오.,
인사(HR),HRPAY 002,급여 기간 &이 정의되지 않았습니다.,급여 기간이 급여 스키마 및 사용자 정의에 올바르게 정의되었는지 확인하십시오. 거래 PE01 또는 SPRO에서 급여 기간 정의를 유지 관리하거나 수정하십시오.,
인사(HR),HRPAY 003,급여 실행이 완료되지 않았습니다.,이전 급여 실행이 성공적으로 완료되었는지 확인하십시오. 올바른 급여 처리를 보장하기 위해 급여 실행을 완료하거나 다시 시작하십시오.,
인사(HR),HRPAY 004,급여 결과가 없습니다.,직원 및 기간에 대한 급여 결과가 존재하는지 확인하십시오. 결과가 발견되지 않으면 급여를 다시 실행하거나 문제를 조사하십시오.,
인사(HR),HRPAY 005,임금 유형 &이 존재하지 않습니다.,임금 유형이 시스템에 존재하고 올바르게 할당되었는지 확인하십시오. 필요에 따라 거래 PE51 또는 HR 사용자 정의에서 임금 유형을 생성하거나 유지 관리하십시오.,
인사(HR),HRPAY 006,레트로액티브 계산 오류,소급 급여 계산의 오류를 조사하십시오. 소급 계산 논리를 수정하고 급여를 다시 실행하기 위해 인포타입 기록 또는 급여 스키마를 조정하십시오.,
인사(HR),PT 001,근무 시간 규칙 &이 존재하지 않습니다.,지정된 근무 시간 규칙이 시스템에 존재하는지 확인하십시오. 거래 PE03 또는 관련 사용자 정의에서 근무 시간 규칙을 생성하거나 업데이트하십시오.,
인사(HR),PT 002,시간 할당 그룹 &이 정의되지 않았습니다.,시간 할당 그룹이 정의되고 올바르게 할당되었는지 확인하십시오. 인사 하위 영역 또는 관련 HR 사용자 정의에서 시간 할당 그룹을 유지 관리하십시오.,
인사(HR),PT 003,휴가 할당량 &이 부족합니다.,직원의 휴가 할당량이 요청된 결근에 충분한지 확인하십시오. 시간 관리에서 휴가 잔액 또는 할당량을 그에 따라 조정하십시오.,
인사(HR),OO 001,조직 단위 &이 존재하지 않습니다.,조직 단위 마스터 데이터의 존재 여부를 확인하십시오. 거래 PPOME 또는 유사한 조직 관리 도구에서 조직 단위 데이터를 생성하거나 수정하십시오.,
인사(HR),OO 002,직위 &이 존재하지 않습니다.,직위 마스터 레코드가 존재하고 활성화되어 있는지 확인하십시오.,
ABAP 런타임 및 시스템 오류,RUNTIME ERROR,화면을 찾을 수 없습니다.,화면(dynpro)이 존재하고 프로그램 또는 모듈 풀에 포함되어 있는지 확인하십시오. 이 오류는 일반적으로 프로그램이 존재하지 않는 화면 번호를 호출할 때 발생합니다. 프로그램 코드 및 화면 할당을 검토하십시오.,
ABAP 런타임 및 시스템 오류,RUNTIME ERROR,함수 모듈을 찾을 수 없습니다.,함수 모듈 이름이 정확하고 시스템에서 활성화되어 있는지 확인하십시오. 함수 저장소(거래 SE37)를 확인하고 모듈이 삭제되지 않았거나 전송 문제가 없는지 확인하십시오.,
ABAP 런타임 및 시스템 오류,RUNTIME ERROR,구문 오류,ABAP 소스 코드에서 구문 오류를 검사하십시오. ABAP 에디터(SE38/SE80)를 사용하여 구문 오류를 확인하고 수정한 다음 프로그램을 활성화하십시오.,
ABAP 런타임 및 시스템 오류,RUNTIME ERROR,데이터베이스 SQL 오류,"이 오류를 유발하는 기본 SQL 문을 분석하십시오. 데이터베이스 로그, 연결 무결성 또는 유효하지 않은 DB 객체를 확인하십시오. 데이터베이스 문제 해결을 위해 필요한 경우 기반 팀과 협력하십시오.",
ABAP 런타임 및 시스템 오류,RUNTIME ERROR,메모리 부족,이 오류는 처리 중 SAP 시스템의 내부 메모리가 부족할 때 발생합니다. 프로그램 메모리 사용량을 검토하고 대용량 데이터 처리를 최적화하십시오. SAP 메모리 매개변수를 조정하거나 BASIS 팀에 연락하여 메모리 설정을 늘리는 것을 고려하십시오.,
ABAP 런타임 및 시스템 오류,RUNTIME ERROR,예기치 않은 오류 메시지,ST22에서 덤프 세부 정보를 확인하고 런타임 오류 컨텍스트를 분석하십시오. 근본 원인 및 수정을 위해 프로그램을 디버깅하거나 개발자에게 보고하십시오.,
ABAP 런타임 및 시스템 오류,S_BCE_68001600,트랜잭션 &을 사용할 권한이 없습니다.,사용자의 권한 프로필 및 역할을 확인하십시오. 거래 PFCG를 통해 또는 보안 팀의 도움을 받아 거래에 필요한 권한 객체를 할당하십시오.,
ABAP 런타임 및 시스템 오류,Error in RFC call,RFC 연결 문제,RFC 대상(거래 SM59)의 상태 및 구성을 확인하십시오. 시스템 간의 네트워크 연결 및 인증을 확인하십시오. 또한 SAP 게이트웨이 상태도 확인하십시오.,
ABAP 런타임 및 시스템 오류,IDoc status 51,애플리케이션 문서가 전기되지 않음,거래 WE02 또는 WE05를 사용하여 애플리케이션 로그 또는 IDoc 오류 세부 정보를 조사하십시오. 데이터 문제를 수정하고 IDoc를 다시 처리하십시오.,
ABAP 런타임 및 시스템 오류,IDoc status 03,데이터가 포트로 정상적으로 전달됨,이는 IDoc이 포트로 성공적으로 전송되었음을 나타내는 정보 상태입니다. 하위 처리 오류가 발생하지 않는 한 조치가 필요하지 않습니다.,
ABAP 런타임 및 시스템 오류,System down,시스템이 작동하지 않습니다.,시스템 가용성 및 SAP 시스템 로그를 확인하십시오. 원인을 식별하고 시스템 작동을 복원하기 위해 BASIS 팀과 협의하십시오.,
기타 일반/기술 오류,S_TABU_DIS,테이블 &에 대한 권한이 없습니다.,테이블 접근에 대한 사용자 권한 객체(예: S_TABU_DIS)를 확인하십시오. PFCG 역할을 통해 필요한 권한을 할당하십시오.,
기타 일반/기술 오류,TR 001,오브젝트 & & &이 사용자 &에 의해 잠겨 있습니다.,SM12 또는 관련 잠금 거래를 사용하여 어떤 사용자가 객체를 잠갔는지 확인하십시오. 사용자와 협의하여 잠금을 해제하거나 잠금 해제를 기다리십시오.,
기타 일반/기술 오류,TR 100,전송 요청 &을 릴리스할 수 없습니다.,거래 SE01 또는 SE09에서 전송 요청 상태 및 오류를 검토하십시오. 릴리스 전에 종속 객체 또는 잠금이 존재하지 않는지 확인하십시오.,
기타 일반/기술 오류,00 001,내부 오류: &,자세한 내부 오류 정보는 시스템 로그(SM21) 및 짧은 덤프(ST22)를 조사하십시오. 필요한 경우 BASIS 또는 SAP 지원팀에 보고하십시오.,
기타 일반/기술 오류,00 349,선택할 데이터가 없습니다.,선택 기준이 올바르고 시스템에 데이터가 존재하는지 확인하십시오. 사용 가능한 데이터를 포함하도록 필터 또는 날짜 범위를 조정하십시오.,
기타 일반/기술 오류,SY 000,프로그램 &을 실행할 수 없습니다.,"프로그램 상태, 권한 및 종속성을 확인하십시오. 프로그램이 활성화되어 있고 사용자에게 실행 권한이 있는지 확인하십시오.",
기타 일반/기술 오류,SG 001,필드 &에 값 &이 유효하지 않습니다.,도메인 또는 데이터 요소 제한에 대해 필드 입력 값을 확인하십시오. 입력 데이터를 수정하거나 사용자 정의에서 유효한 값을 유지 관리하십시오.,
기타 일반/기술 오류,GUI_DOWNLOAD_FAILED,파일 다운로드 실패,프론트엔드 연결 및 SAP GUI 버전을 확인하십시오. 다운로드를 다시 시도하거나 대체 방법(예: AL11 서버 파일)을 사용하십시오.,
